"Sample_date","Plot","Temp_experimental","CO2_treatment","depth2","datesitedepth","Bacteria_copy_dry","Archaea_copy_dry","GWC","DN_unfumigated_soil","MBN","DOC_unfumigated_soil","MBC","temp","PREC_6"
"2021-06-23",10,"9","E","0-10","2021-06-23 10 0-10",379275122.303355,21172226.4564151,850.067155067156,0.118001607462704,0.462041674959006,2.67578984977303,9.42707800676469,24.3375,1.6
"2021-06-23",10,"9","E","10-20","2021-06-23 10 10-20",465604183.517726,145220211.045701,1039.95246583482,0.106580357116413,0.570319250658078,2.96549627313863,13.1756112139627,20.0583333333333,1.6
"2021-06-23",10,"9","E","100-125","2021-06-23 10 100-125",142359777.819844,92162269.6646669,691.789467517485,0.215906940770986,0,2.64038219044661,6.19070421044387,13.4041666666667,1.6
"2021-06-23",10,"9","E","150-175","2021-06-23 10 150-175",49165025.5769151,1167051.20477496,661.27297008547,0.159241170743674,0.100558347110391,2.25680837357072,1.14037574896923,12.68125,1.6
"2021-06-23",10,"9","E","20-30","2021-06-23 10 20-30",288927245.517801,4651405.2496892,779.594232059021,0.232075402329788,0.318732446593635,2.50795633923197,8.87472956626012,17.6229166666667,1.6
"2021-06-23",10,"9","E","30-40","2021-06-23 10 30-40",87938411.4542218,24941489.9440336,471.182795698925,0.197849481524534,0.0560846844369475,1.7296550650313,5.0736837842192,16.5354166666667,1.6
"2021-06-23",10,"9","E","40-50","2021-06-23 10 40-50",30530391.3017413,11947599.6607925,572.988523439915,0.195119340346294,0.11295895121373,2.06121424610783,5.6698397461735,15.8333333333333,1.6
"2021-06-23",10,"9","E","50-75","2021-06-23 10 50-75",52695876.1772917,17389458.4503465,603.291267230677,0.185757250098104,0.0498920995085842,2.3070813303238,5.5713181738284,15.375,1.6
"2021-06-23",10,"9","E","75-100","2021-06-23 10 75-100",114931549.710122,55956524.6018882,759.601990049751,0.18510791304497,0.0343893476569569,2.76631123174984,7.20449304515722,14.3895833333334,1.6
"2021-06-23",11,"2.25","E","0-10","2021-06-23 11 0-10",234390103.385193,33938.7227850941,899.083546462064,0.106123972707478,1.23565512951462,3.99828928838078,5.34769547801883,16.4645833333333,1.8
"2021-06-23",11,"2.25","E","10-20","2021-06-23 11 10-20",204788871.825259,7062097.24746139,1282.02407348749,0.116320853183663,0.429755251382425,4.078618720365,0.0691870125252857,13.7916666666667,1.8
"2021-06-23",11,"2.25","E","100-125","2021-06-23 11 100-125",24011189.1197115,3153068.52254429,738.677248677249,0.121416682083388,0.213621685393647,2.77696603259972,1.12076662027732,6.275,1.8
"2021-06-23",11,"2.25","E","150-175","2021-06-23 11 150-175",24945336.3127538,3527929.74933282,684.615384615385,0.130153826904392,0.204950837578263,2.28586693088087,0.871974266980428,5.9375,1.8
"2021-06-23",11,"2.25","E","20-30","2021-06-23 11 20-30",140895101.692022,6790589.8300993,1123.94487510767,0.137535374480692,0.464721195473633,3.52457963966329,0.459685753458828,11.8708333333333,1.8
"2021-06-23",11,"2.25","E","30-40","2021-06-23 11 30-40",93755757.0990972,4723302.0218007,604.878907019733,0.133604893460119,0.19560556690159,2.07642964549758,0,10.8958333333333,1.8
"2021-06-23",11,"2.25","E","40-50","2021-06-23 11 40-50",21386758.2823887,111845.371943094,418.958106985652,0.0926944221017096,0.214063893508089,1.83648889508134,1.63064938136952,10.1333333333333,1.8
"2021-06-23",11,"2.25","E","50-75","2021-06-23 11 50-75",32371347.9800289,6548641.72728042,603.421848574579,0.149201331153386,0.23829078725511,2.74845720652092,1.397363296186,7.68333333333333,1.8
"2021-06-23",11,"2.25","E","75-100","2021-06-23 11 75-100",27348726.8542861,8095028.01368468,615.531987683886,0.123339232159744,0.134508534259363,2.40457806320562,0.801791025604174,6.97916666666667,1.8
"2021-06-23",13,"4.5","A","0-10","2021-06-23 13 0-10",382034343.531628,121626.705012085,1142.82972582972,0.0979644827519129,0.988193181077696,3.15091832124015,6.67678591692019,18.275,1.7
"2021-06-23",13,"4.5","A","10-20","2021-06-23 13 10-20",436387209.498205,5793279.94430086,1228.31728134054,0.142123475910631,0.458154410593921,3.64235226092065,2.12427681432591,15.3791666666667,1.7
"2021-06-23",13,"4.5","A","100-125","2021-06-23 13 100-125",94378608.8053688,16867951.321538,809.242379900852,0.14273829093719,0.168623574597793,4.12042471382714,0,9.34166666666667,1.7
"2021-06-23",13,"4.5","A","150-175","2021-06-23 13 150-175",83148173.6367181,332057.399319378,808.518518518519,0.156336902185907,0.102105404394938,3.59672313750949,0,8.559375,1.7
"2021-06-23",13,"4.5","A","20-30","2021-06-23 13 20-30",1059311622.95475,122871393.512497,798.320707070707,0.131873877599926,0.149758791987457,2.52854043438518,0.478297627120585,14.2604166666667,1.7
"2021-06-23",13,"4.5","A","30-40","2021-06-23 13 30-40",198787520.950942,1747232.52592376,547.664223716623,0.165665658869582,0.253362117989647,2.00995775299191,2.26378883442959,13.40625,1.7
"2021-06-23",13,"4.5","A","40-50","2021-06-23 13 40-50",148778663.772325,8047101.80667915,478.803163344039,0.171980651933886,0.0947536500312611,2.37027577791369,0,12.6791666666667,1.7
"2021-06-23",13,"4.5","A","50-75","2021-06-23 13 50-75",227979739.823656,24275415.3415515,495.944453698049,0.146362670030124,0.0962226837746447,2.36705700926951,0,12.0229166666667,1.7
"2021-06-23",13,"4.5","A","75-100","2021-06-23 13 75-100",70196910.5030853,2597257.91131919,615.597757630975,0.158495476735877,0.119162912754877,3.7401352167459,0,10.6822916666667,1.7
